IdLocalidade;Localidade;Municipio;UF
4289;CENTRAL;CENTRAL;BA        
3297;CHORROCHO;CHORROCHO;BA        
4998;CICERO DANTAS;CICERO DANTAS;BA        
4992;CIPO;CIPO;BA        
3778;COCOS;COCOS;BA        
21346;SAO GONCALO;COCOS;BA        
4944;CONCEICAO DO COITE;CONCEICAO DO COITE;BA        
3829;CONDEUBA;CONDEUBA;BA        
4681;CORDEIROS;CORDEIROS;BA        
3781;CORIBE;CORIBE;BA        
3782;CORRENTINA;CORRENTINA;BA        
22204;POSTO ROSARIO ;CORRENTINA;BA        
4379;CRISTOPOLIS;CRISTOPOLIS;BA        
4825;CRUZ DAS ALMAS;CRUZ DAS ALMAS;BA        
5561;DIAS D'AVILA;DIAS D'AVILA;BA        
4721;DOM BASILIO;DOM BASILIO;BA        
4984;ENTRE RIOS;ENTRE RIOS;BA        
4368;ERICO CARDOSO;ERICO CARDOSO;BA        
4988;ESPLANADA;ESPLANADA;BA        
22616;ESPLANADA CIA LTDA;ESPLANADA;BA        
4963;EUCLIDES DA CUNHA;EUCLIDES DA CUNHA;BA        
4765;EUNAPOLIS;EUNAPOLIS;BA        
21476;MUNDO NOVO;EUNAPOLIS;BA        
4941;FEIRA DE SANTANA;FEIRA DE SANTANA;BA        
4371;FORMOSA DO RIO PRETO;FORMOSA DO RIO PRETO;BA        
2833;GANDU;GANDU;BA        
4715;GUAJERU;GUAJERU;BA        
3842;GUANAMBI;GUANAMBI;BA        
4763;GUARATINGA;GUARATINGA;BA        
4760;IACU;IACU;BA        
17637;IBIACUCE ;IBIASSUCE;BA        
4778;IBICARAI;IBICARAI;BA        
4282;IBIPEBA;IBIPEBA;BA        
3854;IBIPITANGA;IBIPITANGA;BA        
2707;IBIRAPUA;IBIRAPUA;BA        
23946;VILA CAPIXABA;IBIRAPUA;BA        
4369;IBITIARA;IBITIARA;BA        
17732;LAGOA DO DIONISIO ;IBITIARA;BA        
4275;IBOTIRAMA;IBOTIRAMA;BA        
4788;ILHEUS;ILHEUS;BA        
4981;INHAMBUPE;INHAMBUPE;BA        
4937;IPECAETA;IPECAETA;BA        
2828;IPIAU;IPIAU;BA        
4927;IPIRA;IPIRA;BA        
4281;IPUPIARA;IPUPIARA;BA        
4845;IRAQUARA;IRAQUARA;BA        
4858;IRECE;IRECE;BA        
4764;ITABELA;ITABELA;BA        
21280;MONTE PASCOAL;ITABELA;BA        
4894;ITABERABA;ITABERABA;BA        
4787;ITABUNA;ITABUNA;BA        
23661;ENTR DE UNIAO BAIANA;ITAGIMIRIM;BA        
23662;FAZ. NEGO VARGEM;ITAGIMIRIM;BA        
4766;ITAGIMIRIM;ITAGIMIRIM;BA        
2716;ITAMARAJU;ITAMARAJU;BA        
4702;ITAMBE;ITAMBE;BA        
21276;IBIRAJA;ITANHEM;BA        
2709;ITANHEM;ITANHEM;BA        
21275;PATIOBA;ITANHEM;BA        
